precision,recall,threshold,f1-score
0.49759211557845223,1.0,0.0,0.6645228836374514
0.49815001681802895,1.0,0.001072961373390558,0.6650202065559048
0.49848535846516323,1.0,0.001430615164520744,0.665318957771788
0.4986531986531986,1.0,0.002145922746781116,0.6654684340597619
0.4990452656407952,1.0,0.0025024899362187923,0.6658174734002696
0.4991013255448214,1.0,0.0025035765379113014,0.6658673660547022
0.49915739804516346,1.0,0.0025122998011095988,0.6659172661870504
0.4992134831460674,1.0,0.0027651708740514176,0.6659671737989957
0.4992695808517811,1.0,0.002861230329041488,0.66601708889222
0.49938181409463867,1.0,0.003218884120171674,0.6661169415292354
0.49960643202518834,1.0,0.0035765379113018594,0.6663167366526694
0.49977502812148483,1.0,0.0036935795413311,0.6664666616665417
0.4998874887488749,1.0,0.0037922655948407023,0.6665666491636036
0.4999437380443344,1.0,0.004291845493562232,0.6666166541635409
0.50011256190905,1.0,0.004444981121581217,0.6667667141892398
0.5001688618709895,1.0,0.004649499284692418,0.6668167492120666
0.5004505519261094,1.0,0.005007153075822603,0.6670670370092334
0.5005633168093736,1.0,0.005182702252510908,0.667167204745101
0.5006197183098592,1.0,0.00536480686695279,0.6672172998948792
0.5006761325219743,1.0,0.005722460658082976,0.667267402568146
0.5010148849797023,1.0,0.006080114449213161,0.6675681766959657
0.5012409747292419,1.0,0.006385982519134408,0.6677688434658451
0.5012975290533679,1.0,0.006437768240343348,0.6678190290094693
0.5015238740264139,1.0,0.006627142486641017,0.6680198466396031
0.5015804922104312,1.0,0.006795422031473534,0.6680700699195549
0.5016371231794061,1.0,0.006814495107239678,0.6681203007518797
0.5016937669376694,1.0,0.007153075822603719,0.6681705391382812
0.5017504234895539,1.0,0.0071763975151622125,0.6682207850804631
0.5019771777200316,1.0,0.007316574698548947,0.6684218444411012
0.5020338983050847,1.0,0.0075107296137339056,0.668472128187768
0.5021473779385172,1.0,0.00786838340486409,0.6685727183808592
0.5022609088853719,1.0,0.007868383404864092,0.6686733388516818
0.5023744911804613,1.0,0.008226037195994277,0.6687739896139083
0.502544960977265,1.0,0.008482046007248651,0.6689250225835591
0.5026018099547511,1.0,0.008529518968819986,0.6689753820673041
0.5027155465037338,1.0,0.008583690987124463,0.6690761237858595
0.502829334540516,1.0,0.008941344778254649,0.6691768958505911
0.5030001132118194,1.0,0.009056178319157813,0.6693281108767701
0.5030570652173914,1.0,0.009078319779755678,0.6693785310734464
0.5031140301211641,1.0,0.009298998569384835,0.669428958866958
0.5032850022655188,1.0,0.009431315048020443,0.6695802878456785
0.5033420188059363,1.0,0.009656652360515022,0.6696307460437076
0.503456090651558,1.0,0.0099877795900055,0.6697316852577629
0.503627295397869,1.0,0.010014306151645206,0.6698831511496419
0.5036843895249972,1.0,0.010294589938979883,0.6699336550060314
0.5037414965986394,1.0,0.010371959942775393,0.6699841664781724
0.5038557496030845,1.0,0.01072961373390558,0.6700852122766005
0.503970054446461,1.0,0.010816438471447146,0.670186288558715
0.5040272263187748,1.0,0.01091898798020325,0.6702368381354654
0.5040844111640572,1.0,0.011087267525035764,0.6702873953383118
0.5041416089867241,1.0,0.011087267525035766,0.6703379601689801
0.5042560435818862,1.0,0.011444921316165951,0.670439112720688
0.5043132803632236,1.0,0.01176857965133797,0.6704897004451823
0.5044277929155313,1.0,0.011802575107296138,0.6705908988000906
0.5045423574835339,1.0,0.012160228898426322,0.6706921277077516
0.5046569741026806,1.0,0.012160228898426323,0.6707933871820035
0.5047143019425196,1.0,0.012202662162524061,0.6708440283859278
0.5048863636363636,1.0,0.012517882689556508,0.6709959978856754
0.5050585426850063,1.0,0.01323319027181688,0.6711480362537765
0.5051733939738487,1.0,0.013558330081935233,0.6712494334491614
0.5052308392085513,1.0,0.013590844062947067,0.6713001435370552
0.5054032533272665,1.0,0.013948497854077254,0.6714523197823787
0.5057484348321002,1.0,0.014150645581033688,0.67175687934684
0.5058636001366276,1.0,0.014306151645207437,0.6718584606078934
0.505978817902289,1.0,0.014663805436337626,0.6719600725952813
0.5060364464692483,1.0,0.015021459227467811,0.6720108901157075
0.5062094109604649,1.0,0.015736766809728183,0.6721633888048412
0.5064402142938561,1.0,0.016094420600858368,0.6723668280871671
0.5065556949036598,1.0,0.016452074391988557,0.6724685939155441
0.5067290145985401,1.0,0.016809728183118742,0.6726213004314586
0.5068446269678303,1.0,0.01705348097733803,0.6727231433113787
0.5070181444710715,1.0,0.017167381974248927,0.6728759654702408
0.5071917808219178,1.0,0.017513626128368327,0.6730288570779368
0.5072496860372189,1.0,0.017525035765379112,0.6730798363884261
0.5073655361425146,1.0,0.017525035765379116,0.6731818181818182
0.5074234810415715,1.0,0.017688534641324343,0.6732328206682324
0.5074814391776128,1.0,0.017882689556509297,0.6732838308834672
0.5075973951787959,1.0,0.017979466464697468,0.6733858745074265
0.5076553930530164,1.0,0.018240343347639486,0.6734369079196665
0.5079455813421745,1.0,0.018411690940147742,0.6736921910538287
0.5080036588154585,1.0,0.01859799713876967,0.6737432709075745
0.5080617495711836,1.0,0.018597997138769674,0.6737943585077344
0.5081779709481872,1.0,0.018955650929899856,0.6738965569543456
0.5083524027459955,1.0,0.018964374193098155,0.6740499127664417
0.5084105732921387,1.0,0.019313304721030038,0.6741010468821119
0.5084687571526665,1.0,0.019313304721030045,0.6741521887565435
0.5087598763311577,1.0,0.019670958512160226,0.674408014571949
0.5088181401740723,1.0,0.019670958512160233,0.6744592030360531
0.50893470790378,1.0,0.019951925867296914,0.6745616032794352
0.509051329055912,1.0,0.02002861230329041,0.6746640346215169
